count_fp,created_time,no_price_dollars,taker_side,ticker,trade_id,yes_price_dollars,ts_utc
1.00,2026-02-25T19:12:14.782599Z,0.5500,no,KXKHAMENEIOUT-AKHA-26SEP01,58b724bb-fa17-43db-3082-8e9e2dac8418,0.4500,2026-02-25 19:12:14.782599+00:00
41.00,2026-02-25T19:04:56.410965Z,0.5400,yes,KXKHAMENEIOUT-AKHA-26SEP01,fb7edd71-5b6f-6c41-d0b6-787a6dfe73fc,0.4600,2026-02-25 19:04:56.410965+00:00
62.00,2026-02-25T19:03:07.674296Z,0.5400,yes,KXKHAMENEIOUT-AKHA-26SEP01,4465ffed-df57-6db9-cfb3-3b1945099ca4,0.4600,2026-02-25 19:03:07.674296+00:00
29.00,2026-02-25T18:53:43.054424Z,0.5400,yes,KXKHAMENEIOUT-AKHA-26SEP01,484ba47a-d00b-7321-f3ef-ab7cbe22dfcc,0.4600,2026-02-25 18:53:43.054424+00:00
14.00,2026-02-25T18:53:40.189073Z,0.5400,no,KXKHAMENEIOUT-AKHA-26SEP01,e1b2503e-5dee-7532-bd4d-99edbe7d9122,0.4600,2026-02-25 18:53:40.189073+00:00
61.00,2026-02-25T18:53:40.189073Z,0.5400,no,KXKHAMENEIOUT-AKHA-26SEP01,778cffb7-a2fd-7e7f-9956-1d768e91e84c,0.4600,2026-02-25 18:53:40.189073+00:00
1111.00,2026-02-25T18:53:40.189073Z,0.5400,no,KXKHAMENEIOUT-AKHA-26SEP01,6f867b2c-b17a-7f59-ad89-8a986dde25da,0.4600,2026-02-25 18:53:40.189073+00:00
109.00,2026-02-25T18:53:40.189073Z,0.5400,no,KXKHAMENEIOUT-AKHA-26SEP01,13be6a3a-70a0-745f-b83a-cdd96431f5e0,0.4600,2026-02-25 18:53:40.189073+00:00
10.00,2026-02-25T18:47:03.416766Z,0.5500,no,KXKHAMENEIOUT-AKHA-26SEP01,284c0bcd-1c0f-4c2f-e968-48fda7711388,0.4500,2026-02-25 18:47:03.416766+00:00
205.00,2026-02-25T18:46:44.833846Z,0.5300,yes,KXKHAMENEIOUT-AKHA-26SEP01,06d5d2b0-2690-4f15-75ae-e2e6967b4c86,0.4700,2026-02-25 18:46:44.833846+00:00
84.00,2026-02-25T18:45:33.18196Z,0.5400,yes,KXKHAMENEIOUT-AKHA-26SEP01,cd4d4c15-0619-7175-9212-8a296adebf2c,0.4600,2026-02-25 18:45:33.181960+00:00
155.00,2026-02-25T18:45:33.18196Z,0.5400,yes,KXKHAMENEIOUT-AKHA-26SEP01,bf4fb7aa-1b38-76b1-97c4-7da64bc0ff6c,0.4600,2026-02-25 18:45:33.181960+00:00
2.00,2026-02-25T18:45:33.18196Z,0.5400,yes,KXKHAMENEIOUT-AKHA-26SEP01,b0760fc9-8a0c-728b-9d4f-5dc4fec38922,0.4600,2026-02-25 18:45:33.181960+00:00
327.00,2026-02-25T18:45:33.18196Z,0.5400,yes,KXKHAMENEIOUT-AKHA-26SEP01,a1e99693-48f4-7eaa-b736-f5819a453055,0.4600,2026-02-25 18:45:33.181960+00:00
77.00,2026-02-25T18:45:33.18196Z,0.5400,yes,KXKHAMENEIOUT-AKHA-26SEP01,93bc9f6e-2489-7016-9eea-8ff25347a486,0.4600,2026-02-25 18:45:33.181960+00:00
4.00,2026-02-25T18:45:33.18196Z,0.5300,yes,KXKHAMENEIOUT-AKHA-26SEP01,8e5f99fc-dab8-7288-bfaa-b81b5ec2d40d,0.4700,2026-02-25 18:45:33.181960+00:00
